F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,alphaRatioV_sma3nz_amean,hammarbergIndexV_sma3nz_amean,jitterLocal_sma3nz_amean,logRelF0-H1-A3_sma3nz_amean,loudness_sma3_meanRisingSlope,loudness_sma3_percentile80.0,loudness_sma3_stddevNorm,shimmerLocaldB_sma3nz_amean,slopeUV500-1500_sma3nz_amean
29.24675,26.85967,28.47408,31.12822,606.6527,0.2790413,1549.705,0.1190462,2501.688,0.06371082,5.240605,-14.36858,22.86933,0.03159418,22.89399,8.01538,1.084431,0.5212377,0.9985566,0.002321935
32.73645,29.6608,31.56973,33.79597,706.824,0.2369398,1618.965,0.1194383,2526.356,0.04729717,4.812004,-10.17261,18.28981,0.04511636,18.47957,17.44774,1.998594,0.503966,1.318464,-0.01657958
30.70344,26.83977,29.47087,36.06213,560.2418,0.2982851,1494.373,0.1383066,2417.24,0.07765968,5.289124,-13.57687,24.33667,0.03551405,24.09349,13.73376,1.455274,0.603897,1.362944,-0.003767404
25.19963,22.76919,24.79166,27.33005,548.4793,0.2361505,1464.693,0.138363,2498.809,0.07838593,4.940649,-22.72775,35.60141,0.03685434,37.61949,7.446651,0.7120872,0.6403974,1.21748,-0.009114486
32.66504,30.14512,32.7478,35.0265,663.0098,0.3295815,1574.681,0.160116,2567.38,0.08785939,7.556464,-13.55973,23.00413,0.02668916,22.18015,5.818056,0.7287937,0.5907022,1.179768,-0.003482878
19.56452,18.70579,19.48289,20.37897,470.4785,0.2814801,1386.377,0.1349076,2407.219,0.05817061,3.045148,-19.18207,28.39765,0.02175957,30.1718,3.749416,0.658548,0.5077404,1.542969,0.0003594445
22.31281,21.78176,22.29183,22.85926,546.8687,0.2390502,1478.535,0.1104617,2434.854,0.06112741,3.279837,-17.81104,29.02166,0.02466918,23.30375,4.221271,0.799698,0.2825557,1.423206,-0.01227262
37.38435,34.15682,35.61163,36.58291,855.5541,0.1829163,1718.547,0.09102834,2596.325,0.0596007,3.88574,3.398312,10.95703,0.03377204,5.786553,1.876786,0.3077846,0.3923209,1.423829,0.01222129
24.80631,23.57639,24.6651,26.12129,484.1834,0.2908576,1454.467,0.1410668,2421.291,0.05696072,4.474182,-13.35607,18.51094,0.02158436,17.85852,6.201446,0.7647828,0.5007979,1.321768,-0.01046569
31.63412,30.13941,31.6997,32.97031,612.5706,0.3025384,1552.471,0.1118467,2520.422,0.06620418,5.464324,-8.636722,15.79933,0.0270446,14.04664,7.834456,0.7920799,0.5622627,1.473045,-0.005397801
26.56654,23.25742,24.32204,31.50872,609.5593,0.3168568,1531.786,0.1169581,2449.939,0.06857164,3.209932,-9.644576,18.53464,0.07217807,15.06674,3.181381,0.6977296,0.5167736,1.727737,-0.005423746
26.76429,25.71542,26.91742,27.71444,555.4222,0.2637377,1489.929,0.07767227,2432.022,0.05447295,3.539496,-7.427864,18.03329,0.0176341,8.727272,5.335303,0.8298836,0.349777,1.162522,-0.01075619
25.27627,23.16593,24.30301,26.24372,560.5624,0.3170944,1481.653,0.1193208,2416.228,0.0623846,3.606713,-12.27711,21.14384,0.03566312,18.68445,7.754179,0.8742706,0.586913,1.612214,-0.006450233
26.45568,24.26656,25.51983,28.40974,551.2806,0.2469133,1522.544,0.1052911,2433.922,0.08081786,4.441363,-12.93673,23.32488,0.03576872,21.57424,13.88307,1.800687,0.4104716,1.518615,-0.01842254
34.96526,33.9936,35.19748,35.96693,687.9579,0.3007099,1576.081,0.1135422,2416.904,0.05541296,7.744464,-6.494712,14.90468,0.01750759,12.03143,6.869734,1.050825,0.5654606,0.9076254,0.001778118
37.14061,33.81551,35.86425,39.77179,710.4309,0.3359337,1603.65,0.1235542,2488.142,0.05886187,3.510182,0.602981,9.208693,0.02533439,4.643822,7.945045,1.148749,0.4966105,1.781016,-0.0003520837
23.65445,21.98078,22.95746,23.9798,498.8334,0.3480534,1455.816,0.1508949,2397.496,0.08054212,5.321794,-18.54857,25.70981,0.04340335,28.22803,5.144893,0.6194648,0.5752103,1.086647,0.01009916
29.89354,26.59831,29.55739,32.64631,615.5226,0.3311631,1549.218,0.1426668,2454.546,0.09037387,4.876898,-8.427418,17.45547,0.02716144,15.66829,7.195356,0.709289,0.4915304,1.305876,0.001833158
25.67694,23.47527,25.0201,27.35415,566.7003,0.3317269,1491.198,0.1500527,2420.101,0.07525755,5.305791,-12.69637,21.94935,0.0220704,19.45798,16.08038,2.140309,0.7039779,1.324035,-0.01614783
26.57928,25.81952,27.42775,27.95303,590.9821,0.244588,1517.435,0.1408533,2605.245,0.11231,7.148767,-21.21692,35.29381,0.02853199,38.28637,3.303185,0.4584846,0.5647563,1.027288,-0.007242491
29.56363,27.17269,30.10182,31.72838,601.533,0.3341253,1532.632,0.1372876,2477.914,0.05866836,6.245509,-14.05773,22.38809,0.0336719,23.35679,18.46042,2.16859,0.3987746,1.349666,-0.00172196
